,index,Adj Close
199,FISV,91.41205955954159
200,FLT,277.8855869068819
201,FLIR,52.80852946113138
202,FLS,50.73448742137236
203,FMC,81.65209063361672
204,FL,41.35118518156164
205,F,10.068235229043399
206,FTNT,78.05294104183422
207,FTV,79.69764664593865
208,FBHS,54.538529564352594
209,FOXA,35.71058811860926
210,FOX,35.538529452155615
211,BEN,34.10467130997602
212,FCX,10.956982079674216
213,GPS,18.046696270213406
214,GRMN,79.8728141784668
215,IT,162.0752944946289
216,GD,177.09722316966338
217,GE,10.233354035545798
218,GIS,52.5297290577608
219,GM,37.34893675411449
220,GPC,102.81201912375057
221,GILD,66.84058514763328
222,GPN,160.8714963127585
223,GS,200.32000059240005
224,GWW,269.6135289809283
225,HAL,22.415882222792682
226,HBI,16.67235279083252
